date,actualEarningResult,estimatedEarning,eps_surprise_pct,eps_beat
2026-01-29 16:00:00,2.84,2.67,0.0634,1
2025-10-30 16:00:00,1.85,1.77,0.0452,1
2025-07-31 16:00:00,1.57,1.43,0.1012,1
2025-05-01 16:00:00,1.65,1.62,0.0169,1
2025-01-30 16:00:00,2.4,2.34,0.0252,1
2024-10-31 16:00:00,0.97,0.95,0.0248,1
2024-08-01 16:00:00,1.4,1.34,0.0436,1
2024-05-02 16:00:00,1.53,1.5,0.020499999999999997,1
2024-02-01 16:00:00,2.18,2.11,0.0355,1
2023-11-02 16:00:00,1.46,1.39,0.0493,1
2023-08-03 16:00:00,1.26,1.19,0.056600000000000004,1
2023-05-04 16:00:00,1.52,1.43,0.0637,1
2023-02-02 16:00:00,1.88,1.95,-0.0378,0
2022-10-27 16:00:00,1.29,1.27,0.0144,1
2022-07-28 16:00:00,1.2,1.15,0.0393,1
2022-04-28 16:00:00,1.52,1.43,0.06480000000000001,1
2022-01-27 16:00:00,2.1,1.89,0.11199999999999999,1
2021-10-28 16:00:00,1.24,1.24,0.0017000000000000001,1
2021-07-27 16:00:00,1.3,1.01,0.28559999999999997,1
2021-04-28 16:00:00,1.4,0.98,0.4216,1
2021-01-27 16:00:00,1.68,1.42,0.1867,1
2020-10-29 16:00:00,0.73,0.7,0.045,1
2020-07-30 16:00:00,0.65,0.52,0.2445,1
2020-04-30 17:00:00,0.64,0.56,0.1293,1
