date,actualEarningResult,estimatedEarning,eps_surprise_pct,eps_beat
2026-02-05 16:00:00,1.95,1.96,-0.0049,0
2025-10-30 16:00:00,1.95,1.56,0.252,1
2025-07-31 16:00:00,1.68,1.33,0.2613,1
2025-05-01 16:00:00,1.59,1.36,0.17079999999999998,1
2025-02-06 16:00:00,1.86,1.48,0.2536,1
2024-10-31 16:00:00,1.43,1.14,0.25170000000000003,1
2024-08-01 12:00:00,1.26,1.03,0.22920000000000001,1
2024-04-30 16:00:00,0.98,0.83,0.17670000000000002,1
2024-02-01 16:00:00,1.0,0.8,0.2438,1
2023-10-26 16:00:00,0.94,0.58,0.6222,1
2023-08-03 16:00:00,0.65,0.34,0.9118999999999999,1
2023-04-27 16:00:00,0.31,0.21,0.4682,1
2023-02-02 16:00:00,0.03,0.16,-0.8168000000000001,0
2022-10-27 16:00:00,0.28,0.21,0.33,1
2022-07-28 16:00:00,-0.2,0.12,-2.733,0
2022-04-28 16:00:00,-0.38,0.42,-1.9058000000000002,0
2022-02-03 16:00:00,1.39,0.19,6.4194,1
2021-10-28 16:00:00,0.31,0.44,-0.3085,0
2021-07-29 16:00:00,0.76,0.62,0.2257,1
2021-04-29 16:00:00,0.79,0.48,0.6411,1
2021-02-02 16:00:00,0.7,0.36,0.9739,1
2020-10-29 16:00:00,0.62,0.37,0.6617000000000001,1
2020-07-30 16:00:00,0.52,0.08,5.822100000000001,1
2020-04-30 17:00:00,0.25,0.31,-0.18,0
