date,actualEarningResult,estimatedEarning,eps_surprise_pct,eps_beat
2026-01-30 06:00:00,1.52,1.44,0.052000000000000005,1
2025-10-31 06:00:00,1.85,1.71,0.0839,1
2025-08-01 06:00:00,1.77,1.74,0.0171,1
2025-05-02 06:00:00,2.18,2.15,0.0131,1
2025-01-31 06:00:00,2.06,2.11,-0.022799999999999997,0
2024-11-01 06:00:00,2.51,2.42,0.038599999999999995,1
2024-08-02 06:00:00,2.55,3.0,-0.149,0
2024-04-26 03:00:00,2.93,2.91,0.0059,1
2024-02-02 06:00:00,3.45,3.22,0.0726,1
2023-10-27 03:00:00,3.05,3.68,-0.1707,0
2023-07-23 16:00:00,3.08,2.98,0.0352,1
2023-04-28 06:00:00,3.55,3.38,0.0506,1
2023-01-27 06:00:00,4.09,4.3,-0.0482,0
2022-10-28 06:00:00,5.56,4.92,0.1309,1
2022-07-29 06:00:00,5.82,5.03,0.1568,1
2022-04-29 06:00:00,3.36,3.45,-0.0268,0
2022-01-28 06:00:00,2.56,3.12,-0.1804,0
2021-10-29 06:00:00,2.96,2.19,0.3504,1
2021-07-30 06:00:00,1.71,1.6,0.06570000000000001,1
2021-04-30 06:00:00,0.9,0.94,-0.045700000000000005,0
2021-01-29 07:00:00,-0.01,0.09,-1.1136,0
2020-10-30 06:00:00,0.11,-0.27,1.4106,1
2020-07-31 06:00:00,-1.59,-0.92,-0.7322,0
2020-05-01 07:00:00,1.29,0.67,0.9381,1
