date,actualEarningResult,estimatedEarning,eps_surprise_pct,eps_beat
2026-02-04 16:00:00,2.82,2.64,0.0701,1
2025-10-29 16:00:00,2.87,2.26,0.2688,1
2025-07-23 16:00:00,2.31,2.19,0.0567,1
2025-04-24 16:00:00,2.81,2.01,0.401,1
2025-02-04 16:00:00,2.15,2.13,0.0118,1
2024-10-29 16:00:00,2.12,1.85,0.1483,1
2024-07-23 16:00:00,1.89,1.85,0.024,1
2024-04-25 16:00:00,1.89,1.51,0.25579999999999997,1
2024-01-30 16:00:00,1.64,1.6,0.0275,1
2023-10-24 16:00:00,1.55,1.45,0.0674,1
2023-07-25 16:00:00,1.44,1.34,0.0723,1
2023-04-25 16:00:00,1.17,1.07,0.09519999999999999,1
2023-02-02 16:00:00,1.05,1.19,-0.11869999999999999,0
2022-10-25 16:00:00,1.06,1.25,-0.1527,0
2022-07-26 16:00:00,1.21,1.29,-0.0605,0
2022-04-26 16:00:00,1.23,1.29,-0.0443,0
2022-02-01 16:00:00,1.53,1.36,0.1252,1
2021-10-26 16:00:00,1.4,1.17,0.2002,1
2021-07-27 16:00:00,1.36,0.96,0.41369999999999996,1
2021-04-27 16:00:00,1.31,0.78,0.6788,1
2021-02-02 16:00:00,1.12,0.79,0.41850000000000004,1
2020-10-29 16:00:00,0.82,0.56,0.46240000000000003,1
2020-07-30 16:00:00,0.51,0.41,0.2414,1
2020-04-28 16:00:00,0.49,0.51,-0.0338,0
