date,actualEarningResult,estimatedEarning,eps_surprise_pct,eps_beat
2026-01-28 16:00:00,8.88,8.22,0.08,1
2025-10-29 16:00:00,1.05,6.71,-0.8434,0
2025-07-30 16:00:00,7.14,5.9,0.2096,1
2025-04-30 16:00:00,6.43,5.22,0.2311,1
2025-01-29 16:00:00,8.02,6.76,0.1867,1
2024-10-30 16:00:00,6.03,5.29,0.1394,1
2024-07-31 16:00:00,5.16,4.76,0.08449999999999999,1
2024-04-24 16:00:00,4.71,4.32,0.0892,1
2024-02-01 16:00:00,5.33,4.94,0.0788,1
2023-10-25 16:00:00,4.39,3.63,0.209,1
2023-07-26 16:00:00,2.98,2.91,0.025099999999999997,1
2023-04-26 16:00:00,2.2,1.98,0.11199999999999999,1
2023-02-01 16:00:00,1.76,2.24,-0.21530000000000002,0
2022-10-26 16:00:00,1.64,1.86,-0.1206,0
2022-07-27 16:00:00,2.46,2.55,-0.0338,0
2022-04-27 16:00:00,2.72,2.55,0.0682,1
2022-02-02 16:00:00,3.67,3.83,-0.040999999999999995,0
2021-10-25 16:00:00,3.22,3.17,0.0152,1
2021-07-28 16:00:00,3.61,3.01,0.2004,1
2021-04-28 16:00:00,3.3,2.35,0.4065,1
2021-01-27 16:00:00,3.88,3.2,0.2143,1
2020-10-29 16:00:00,2.71,1.91,0.41950000000000004,1
2020-07-30 16:00:00,1.8,1.4,0.2888,1
2020-04-29 17:00:00,1.71,1.7,0.0066,1
