date,actualEarningResult,estimatedEarning,eps_surprise_pct,eps_beat
2026-01-28 16:00:00,4.14,3.92,0.056900000000000006,1
2025-10-29 16:00:00,3.72,3.66,0.0159,1
2025-07-30 16:00:00,3.65,3.38,0.0809,1
2025-04-30 16:00:00,3.46,3.22,0.07400000000000001,1
2025-01-29 16:00:00,3.23,3.12,0.0347,1
2024-10-30 16:00:00,3.3,3.11,0.0613,1
2024-07-30 16:00:00,2.95,2.94,0.0023,1
2024-04-25 16:00:00,2.94,2.84,0.034,1
2024-01-30 16:00:00,2.93,2.77,0.0583,1
2023-10-24 16:00:00,2.99,2.65,0.1285,1
2023-07-25 16:00:00,2.69,2.55,0.0559,1
2023-04-25 16:00:00,2.45,2.23,0.0977,1
2023-01-24 16:00:00,2.32,2.32,0.0021,1
2022-10-25 16:00:00,2.35,2.31,0.0192,1
2022-07-26 16:00:00,2.23,2.29,-0.0269,0
2022-04-26 16:00:00,2.22,2.2,0.0106,1
2022-01-25 16:00:00,2.48,2.32,0.0697,1
2021-10-26 16:00:00,2.27,2.08,0.09300000000000001,1
2021-07-27 16:00:00,2.17,1.93,0.12710000000000002,1
2021-04-27 16:00:00,1.95,1.78,0.0967,1
2021-01-26 16:00:00,2.03,1.64,0.23989999999999997,1
2020-10-27 16:00:00,1.82,1.55,0.1772,1
2020-07-22 16:00:00,1.46,1.37,0.0642,1
2020-04-29 16:00:00,1.4,1.27,0.10339999999999999,1
