date,actualEarningResult,estimatedEarning,eps_surprise_pct,eps_beat
2026-02-25 16:00:00,1.62,1.54,0.053200000000000004,1
2025-11-19 16:00:00,1.3,1.26,0.0346,1
2025-08-27 16:00:00,1.05,1.01,0.040999999999999995,1
2025-05-28 16:00:00,0.81,0.75,0.0802,1
2025-02-26 16:00:00,0.89,0.85,0.0525,1
2024-11-20 16:00:00,0.81,0.75,0.0852,1
2024-08-28 16:00:00,0.68,0.64,0.056600000000000004,1
2024-05-22 16:00:00,0.61,0.56,0.0974,1
2024-02-21 16:00:00,0.52,0.46,0.114,1
2023-11-21 16:00:00,0.4,0.34,0.1873,1
2023-08-23 16:00:00,0.27,0.21,0.29350000000000004,1
2023-05-24 16:00:00,0.11,0.09,0.188,1
2023-02-22 16:00:00,0.09,0.08,0.09449999999999999,1
2022-11-16 16:00:00,0.06,0.07,-0.1732,0
2022-08-24 16:00:00,0.05,0.05,-0.0149,1
2022-05-25 16:00:00,0.14,0.13,0.048600000000000004,1
2022-02-16 16:00:00,0.13,0.12,0.0797,1
2021-11-17 16:00:00,0.12,0.11,0.0581,1
2021-08-18 16:00:00,0.1,0.1,0.0226,1
2021-05-26 16:00:00,0.09,0.08,0.1144,1
2021-02-24 16:00:00,0.08,0.07,0.10369999999999999,1
2020-11-18 16:00:00,0.07,0.06,0.1421,1
2020-08-19 16:00:00,0.05,0.05,0.1066,1
2020-05-21 16:00:00,0.05,0.04,0.06860000000000001,1
