date,actualEarningResult,estimatedEarning,eps_surprise_pct,eps_beat
2026-02-03 06:00:00,0.66,0.57,0.1618,1
2025-11-04 07:00:00,0.87,0.63,0.3743,1
2025-08-05 06:00:00,0.78,0.57,0.3594,1
2025-04-29 06:00:00,0.92,0.67,0.3649,1
2025-02-04 06:00:00,0.63,0.46,0.37200000000000005,1
2024-10-29 06:00:00,1.06,0.61,0.7328,1
2024-07-30 08:00:00,0.6,0.46,0.3019,1
2024-05-01 06:00:00,0.82,0.51,0.6011,1
2024-01-30 06:00:00,0.1,-0.18,1.547,1
2023-10-31 06:00:00,-0.17,-0.34,0.4996,1
2023-08-01 06:00:00,0.67,0.58,0.1528,1
2023-05-02 06:00:00,1.23,0.99,0.2468,1
2023-01-31 06:00:00,1.14,1.04,0.094,1
2022-11-01 06:00:00,1.78,1.4,0.2703,1
2022-07-28 06:00:00,2.04,1.78,0.14800000000000002,1
2022-05-03 06:00:00,1.62,1.57,0.0347,1
2022-02-08 06:00:00,1.08,0.87,0.23600000000000002,1
2021-11-02 06:00:00,1.34,1.09,0.235,1
2021-07-28 06:00:00,1.07,0.98,0.0942,1
2021-05-04 06:00:00,0.93,0.78,0.1963,1
2021-02-02 06:00:00,0.42,0.46,-0.0965,0
2020-10-27 06:00:00,0.72,0.71,0.0097,1
2020-07-28 06:00:00,0.78,0.66,0.1813,1
2020-04-28 06:00:00,0.8,0.73,0.0998,1
